threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,5586812844.558702,66955009,0.0,0.0,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.1,5427130064.798164,65041295,2.8582088608187672,2.8582088608187672,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.2,5270893243.753794,63168879,5.654737496936191,5.654737496936201,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.30000000000000004,5121136473.895862,61374123,8.335277798260021,8.335277798260021,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.4,4979191228.013216,59672984,10.875997343230882,10.875997343230893,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.5,4845790955.113439,58074252,13.26376791316688,13.263767913166891,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.6000000000000001,4720250769.024263,56569719,15.510848486332062,15.510848486332074,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.7000000000000001,4602322849.091249,55156415,17.621674877229875,17.621674877229886,0.99,0.9899996399870395,0.9900705701621033,0.99,0.996,0.9900596421471173,0.9841897233201581,0.996,0.984,0.9899396378269618,0.9959514170040485,0.984
0.8,4491192557.924067,53824577,19.610828519192648,19.610828519192648,0.988,0.9879992319508449,0.9881249599897574,0.988,0.996,0.9880952380952381,0.9803149606299213,0.996,0.98,0.9879032258064516,0.9959349593495935,0.98
0.9,4385896649.181016,52562661,21.49555084071455,21.49555084071455,0.986,0.9859985998599861,0.9861944777911165,0.986,0.996,0.9861386138613861,0.9764705882352941,0.996,0.976,0.9858585858585859,0.9959183673469387,0.976
1.0,4285875815.843005,51363964,23.28585304200318,23.28585304200318,0.986,0.9859985998599861,0.9861944777911165,0.986,0.996,0.9861386138613861,0.9764705882352941,0.996,0.976,0.9858585858585859,0.9959183673469387,0.976
1.1,4191013657.2996173,50227091,24.983818611688935,24.983818611688935,0.986,0.9859979837096542,0.9862800973360656,0.986,0.998,0.9861660079051383,0.974609375,0.998,0.974,0.9858299595141701,0.9979508196721312,0.974
1.2000000000000002,4100447724.2968845,49141706,26.604884781659877,26.604884781659887,0.986,0.9859985998599861,0.9861944777911165,0.986,0.996,0.9861386138613861,0.9764705882352941,0.996,0.976,0.9858585858585859,0.9959183673469387,0.976
1.3,4014050017.883997,48106275,28.15134264263933,28.15134264263933,0.985,0.9849981847803585,0.9852348536691758,0.985,0.996,0.9851632047477745,0.974559686888454,0.996,0.974,0.9848331648129424,0.9959100204498977,0.974
1.4000000000000001,3931511137.7287455,47117090,29.62873024182552,29.62873024182552,0.984,0.9839976956681762,0.9842789446721312,0.984,0.996,0.9841897233201581,0.97265625,0.996,0.972,0.9838056680161943,0.9959016393442623,0.972
1.5,3852459770.05596,46169701,31.043693833272435,31.043693833272435,0.983,0.9829971265143809,0.9833267288687152,0.983,0.996,0.983218163869694,0.9707602339181286,0.996,0.97,0.9827760891590679,0.9958932238193019,0.97
1.6,3776573414.2496805,45260243,32.40200594999547,32.40200594999547,0.982,0.9819964713083765,0.9823781844966454,0.982,0.996,0.9822485207100592,0.9688715953307393,0.996,0.968,0.9817444219066938,0.9958847736625515,0.968
1.7000000000000002,3703650225.8105497,44386297,33.70727946582757,33.70727946582757,0.981,0.9809957240379086,0.9814332899609649,0.981,0.996,0.9812807881773399,0.9669902912621359,0.996,0.966,0.9807106598984772,0.9958762886597938,0.966
1.8,3633651988.6241794,43547405,34.96019842219721,34.96019842219722,0.98,0.9799948786889444,0.9804920238324043,0.98,0.996,0.9803149606299213,0.9651162790697675,0.996,0.964,0.9796747967479674,0.9958677685950413,0.964
1.9000000000000001,3566017142.7564383,42736837,36.17081434489838,36.170814344898375,0.978,0.9779928696897796,0.9786202918983001,0.978,0.996,0.9783889980353635,0.9613899613899614,0.996,0.96,0.9775967413441955,0.995850622406639,0.96
2.0,3500655821.9296036,41953516,37.34073577676615,37.34073577676617,0.976,0.9759903961584635,0.9767628205128206,0.976,0.996,0.9764705882352941,0.9576923076923077,0.996,0.956,0.9755102040816327,0.9958333333333333,0.956
2.1,3437506196.142014,41196701,38.47106943111604,38.47106943111606,0.971,0.9709818636647904,0.9721804511278197,0.971,0.996,0.9717073170731707,0.9485714285714286,0.996,0.946,0.9702564102564103,0.9957894736842106,0.946
2.2,3376185603.602,40461806,39.56866468347424,39.56866468347424,0.962,0.961950688091767,0.9644074884199691,0.962,0.998,0.9633204633204633,0.9309701492537313,0.998,0.926,0.9605809128630706,0.9978448275862069,0.926
2.3000000000000003,3316403251.386761,39745346,40.63872652156615,40.63872652156615,0.953,0.9529046318795561,0.9566992640387136,0.953,0.998,0.9550239234449761,0.9155963302752294,0.998,0.908,0.9507853403141361,0.9978021978021978,0.908
2.4000000000000004,3258166565.771799,39047410,41.68112202031068,41.68112202031069,0.946,0.9458535881022284,0.950876682194617,0.946,0.998,0.9486692015209125,0.9039855072463768,0.998,0.894,0.9430379746835443,0.9977678571428571,0.894
2.5,3201308497.2789383,38365996,42.698841247262024,42.69884124726203,0.941,0.9408076841658549,0.9468066998715304,0.941,0.998,0.9441816461684012,0.895870736086176,0.998,0.884,0.9374337221633086,0.9977426636568849,0.884
2.6,3145742350.399773,37700065,43.69343599072625,43.69343599072626,0.936,0.9357530346652532,0.9428086254245275,0.936,0.998,0.9397363465160076,0.8879003558718861,0.998,0.874,0.9317697228144989,0.997716894977169,0.874
2.7,3091199026.948929,37046392,44.669722917967206,44.66972291796719,0.94,0.9397974787184087,0.9460013947679982,0.94,0.998,0.943289224952741,0.8942652329749103,0.998,0.882,0.9363057324840764,0.997737556561086,0.882
2.8000000000000003,3037760883.4873238,36405964,45.6262279047711,45.6262279047711,0.936,0.9357530346652532,0.9428086254245275,0.936,0.998,0.9397363465160076,0.8879003558718861,0.998,0.874,0.9317697228144989,0.997716894977169,0.874
2.9000000000000004,2985326038.1903563,35777560,46.564774563767145,46.564774563767145,0.937,0.9367647014541107,0.943602580812818,0.937,0.998,0.94062205466541,0.8894830659536542,0.998,0.876,0.9329073482428115,0.9977220956719818,0.876
3.0,2933763655.10309,35159612,47.487704766046704,47.48770476604671,0.942,0.9418303773804414,0.947216331288145,0.942,0.996,0.9449715370018975,0.8989169675090253,0.996,0.888,0.9386892177589852,0.9955156950672646,0.888
