threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,negative_accuracy,negative_f1,negative_precision,negative_recall,neutral_accuracy,neutral_f1,neutral_precision,neutral_recall,positive_accuracy,positive_f1,positive_precision,positive_recall
0.0,11173557011.34259,124647171,0.0,0.0,0.7170345217883418,0.7103370245831798,0.7201979260057279,0.7170345217883418,0.7922077922077922,0.7425093632958801,0.6986784140969163,0.7922077922077922,0.5545454545454546,0.6338928856914469,0.7397388059701493,0.5545454545454546,0.8594741613780599,0.7802469135802469,0.7143933685003768,0.8594741613780599
0.1,10999880675.764858,122709716,1.5543513618933247,1.5543513618933358,0.7178834182229767,0.7114085928212064,0.7208435813752522,0.7178834182229767,0.7912087912087912,0.7426160337552743,0.6996466431095406,0.7912087912087912,0.558041958041958,0.6361100039856517,0.7395736793327155,0.558041958041958,0.8585675430643699,0.7807089859851608,0.7157974300831443,0.8585675430643699
0.2,10826896193.137512,120779979,3.1025108463953788,3.102510846395401,0.7181663837011885,0.7117425626868928,0.7211369599899747,0.7181663837011885,0.7872127872127872,0.7416470588235294,0.701067615658363,0.7872127872127872,0.5594405594405595,0.6371963361210673,0.7400555041628122,0.5594405594405595,0.8612873980054397,0.78125,0.7148231753197893,0.8612873980054397
0.30000000000000004,10654791452.004738,118860056,4.642796907119539,4.642796907119539,0.7184493491794001,0.7121917916734276,0.7211491218049974,0.7184493491794001,0.7882117882117882,0.742238946378175,0.7013333333333334,0.7882117882117882,0.5615384615384615,0.6380611839491458,0.7387304507819688,0.5615384615384615,0.8585675430643699,0.7810309278350516,0.716338880484115,0.8585675430643699
0.4,10484494689.902323,116960302,6.166902095194759,6.166902095194759,0.7178834182229767,0.7119546116763658,0.7197983451881942,0.7178834182229767,0.7782217782217782,0.7404942965779467,0.7062556663644606,0.7782217782217782,0.5664335664335665,0.6390532544378699,0.7330316742081447,0.5664335664335665,0.8594741613780599,0.7805681350349938,0.7149321266968326,0.8594741613780599
0.5,10315681673.593477,115077100,7.67772820130832,7.67772820130832,0.7181663837011885,0.7127439920717807,0.7191734373317198,0.7181663837011885,0.7752247752247752,0.7411652340019103,0.7099725526075022,0.7752247752247752,0.5734265734265734,0.6411258795934324,0.7269503546099291,0.5734265734265734,0.8540344514959202,0.7798013245033113,0.7174409748667174,0.8540344514959202
0.6000000000000001,10149387224.334908,113221994,9.166013884101709,9.16601388410172,0.7229767968307866,0.7192510867570057,0.7224628596537054,0.7229767968307866,0.7462537462537463,0.7396039603960396,0.7330716388616291,0.7462537462537463,0.606993006993007,0.6565809379727685,0.71499176276771,0.606993006993007,0.8522212148685403,0.7820299500831946,0.722521137586472,0.8522212148685403
0.7000000000000001,9985097965.364906,111389257,10.636353712351799,10.63635371235181,0.7238256932654216,0.7205054799656782,0.7230937410972966,0.7238256932654216,0.7382617382617382,0.7371571072319202,0.7360557768924303,0.7382617382617382,0.6160839160839161,0.6606674165729284,0.7122069523039612,0.6160839160839161,0.8504079782411604,0.7829716193656093,0.7254447022428461,0.8504079782411604
0.8,9823530938.890022,109586888,12.082330372343552,12.082330372343552,0.7297679683078664,0.7276707660866326,0.7284819148841407,0.7297679683078664,0.7312687312687313,0.7371601208459214,0.7431472081218274,0.7312687312687313,0.6454545454545455,0.6747076023391813,0.7067381316998469,0.6454545454545455,0.8377153218495014,0.7877237851662404,0.7433628318584071,0.8377153218495014
0.9,9664768615.072775,107815807,13.503205780739302,13.503205780739314,0.7297679683078664,0.7280411669960056,0.7284028730469201,0.7297679683078664,0.7262737262737263,0.7358299595141701,0.7456410256410256,0.7262737262737263,0.6531468531468532,0.6758321273516642,0.7001499250374813,0.6531468531468532,0.8322756119673618,0.788659793814433,0.7493877551020408,0.8322756119673618
1.0,9508656631.28288,106074292,14.900361437003651,14.900361437003651,0.7328805885681947,0.7317658164029733,0.7328991668247388,0.7328805885681947,0.6943056943056943,0.7292759706190975,0.7679558011049724,0.6943056943056943,0.6825174825174826,0.6865986633837495,0.6907289455060156,0.6825174825174826,0.8331822302810517,0.7925830099180682,0.7557565789473685,0.8331822302810517
1.1,9355331421.854424,104363865,16.272576294571493,16.272576294571508,0.7331635540464063,0.7323489364447403,0.7348750656543412,0.7331635540464063,0.6733266733266733,0.7235641438539989,0.7819025522041764,0.6733266733266733,0.7013986013986014,0.6922015182884748,0.6832425068119891,0.7013986013986014,0.828649138712602,0.7923710446467274,0.7591362126245847,0.828649138712602
1.2000000000000002,9205064779.757807,102687558,17.617417887486596,17.61741788748661,0.7314657611771364,0.7308125529806833,0.7392227129168848,0.7314657611771364,0.6243756243756243,0.7058159232072275,0.8116883116883117,0.6243756243756243,0.7433566433566433,0.7018818091779465,0.6647904940587868,0.7433566433566433,0.8132366273798731,0.791005291005291,0.7699570815450644,0.8132366273798731
1.3,9057768228.851282,101044384,18.9356780508079,18.935678050807926,0.7258064516129032,0.7251275536567741,0.7421695867532907,0.7258064516129032,0.5844155844155844,0.6854130052724078,0.8286118980169972,0.5844155844155844,0.7853146853146853,0.7071788413098237,0.643184421534937,0.7853146853146853,0.7769718948322756,0.7844393592677346,0.7920517560073937,0.7769718948322756
1.4000000000000001,8913534458.426207,99435377,20.22652724304509,20.22652724304509,0.72014714204867,0.7191656439046912,0.7450412807824482,0.72014714204867,0.5584415584415584,0.6714714714714715,0.8418674698795181,0.5584415584415584,0.8146853146853147,0.7092846270928462,0.628032345013477,0.8146853146853147,0.7443336355394379,0.7752596789423984,0.8088669950738916,0.7443336355394379
1.5,8772167153.63918,97858347,21.491722423447545,21.491722423447545,0.7139219015280136,0.7118587760742779,0.7536872852787353,0.7139219015280136,0.5214785214785215,0.6525,0.8714524207011686,0.5214785214785215,0.8510489510489511,0.7110721589249197,0.6106372303060712,0.8510489510489511,0.7107887579329103,0.7667481662591688,0.832271762208068,0.7107887579329103
1.6,8633788495.82881,96314657,22.730170105505245,22.730170105505266,0.7000565930956423,0.6953410518214023,0.75848751450125,0.7000565930956423,0.47052947052947053,0.615686274509804,0.8903591682419659,0.47052947052947053,0.8853146853146853,0.7082517482517483,0.5902097902097903,0.8853146853146853,0.6681776971894833,0.7508914926133469,0.8569767441860465,0.6681776971894833
1.7000000000000002,8498690805.864655,94807568,23.939254104692033,23.939254104692033,0.6709111488398415,0.6594824684213615,0.7570703415346828,0.6709111488398415,0.38161838161838163,0.5384073291050036,0.9138755980861244,0.38161838161838163,0.9118881118881119,0.6938015429635541,0.5598969514813225,0.9118881118881119,0.6210335448776065,0.7248677248677249,0.8703939008894537,0.6210335448776065
1.8,8366387330.504859,93331650,25.12333071722903,25.12333071722903,0.6443123938879457,0.6262136778774321,0.7543237065109423,0.6443123938879457,0.32167832167832167,0.4784546805349183,0.9333333333333333,0.32167832167832167,0.9265734265734266,0.6798358132375577,0.536871961102107,0.9265734265734266,0.57116953762466,0.6907894736842105,0.8737864077669902,0.57116953762466
1.9000000000000001,8236857183.28435,91886670,26.28258687074414,26.28258687074415,0.5817770232031693,0.5412964030527917,0.750648015965647,0.5817770232031693,0.1978021978021978,0.32754342431761785,0.9519230769230769,0.1978021978021978,0.9573426573426573,0.6495848161328588,0.49156193895870737,0.9573426573426573,0.443336355394379,0.5948905109489051,0.9038817005545287,0.443336355394379
2.0,8110221290.561005,90473977,27.415940310430308,27.415940310430308,0.5181097906055461,0.4414552234101877,0.7592996730678847,0.5181097906055461,0.0939060939060939,0.17137648131267091,0.9791666666666666,0.0939060939060939,0.9874125874125874,0.6238126794786835,0.45592508879560867,0.9874125874125874,0.29465095194922936,0.45013850415512463,0.9530791788856305,0.29465095194922936
2.1,7986329682.1371,89091898,28.524733224791767,28.524733224791767,0.45302773061686474,0.32854269670827657,0.7633029516613902,0.45302773061686474,0.02197802197802198,0.043010752688172046,1.0,0.02197802197802198,0.9986013986013986,0.596366673627062,0.42512652575171184,0.9986013986013986,0.13689936536718042,0.24044585987261147,0.9869281045751634,0.13689936536718042
2.2,7865236232.542722,87741034,29.60848345286553,29.608483452865542,0.42161856253537067,0.268299175766352,0.7619212850965976,0.42161856253537067,0.001998001998001998,0.003988035892323031,1.0,0.001998001998001998,1.0,0.5831973898858075,0.411629245826137,1.0,0.05258386219401632,0.09991386735572783,1.0,0.05258386219401632
2.3000000000000003,7746503401.709092,86416504,30.67110684766363,30.671106847663644,0.40718732314657613,0.2386086058333267,0.47626300938803195,0.40718732314657613,0.0,0.0,0.0,0.0,1.0,0.5771947527749748,0.4056737588652482,1.0,0.008159564823209429,0.01618705035971223,1.0,0.008159564823209429
2.4000000000000004,7630386309.291145,85121154,31.710320164426353,31.710320164426363,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.5,7516567893.370573,83851447,32.72896101268115,32.72896101268115,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.6,7405294757.661615,82610134,33.724822362795535,33.724822362795535,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.7,7296581424.084193,81397377,34.697774247920954,34.69777424792097,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.8000000000000003,7190211139.537244,80210758,35.64975654361221,35.64975654361221,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
2.9000000000000004,7085795039.276172,79045939,36.5842494732592,36.5842494732592,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
3.0,6983676091.607295,77906746,37.498183572894725,37.49818357289474,0.4046406338426712,0.2331330001591538,0.16373404255659868,0.4046406338426712,0.0,0.0,0.0,0.0,1.0,0.5761482675261885,0.4046406338426712,1.0,0.0,0.0,0.0,0.0
