threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,11173625856.0,110618882,0.0,0.0,0.499,0.33465340223189916,0.41641591440989634,0.499,0.996,0.6653306613226453,0.49949849548645936,0.996,0.002,0.003976143141153081,0.3333333333333333,0.002
0.1,11005760582.268457,108957016,1.5023348364703204,1.5023348364703204,0.499,0.33465340223189916,0.41641591440989634,0.499,0.996,0.6653306613226453,0.49949849548645936,0.996,0.002,0.003976143141153081,0.3333333333333333,0.002
0.2,10837930662.076733,107295500,3.004353271261595,3.004353271261595,0.499,0.33465340223189916,0.41641591440989634,0.499,0.996,0.6653306613226453,0.49949849548645936,0.996,0.002,0.003976143141153081,0.3333333333333333,0.002
0.30000000000000004,10670546802.54742,105638400,4.5023796208679805,4.5023796208679805,0.499,0.33465340223189916,0.41641591440989634,0.499,0.996,0.6653306613226453,0.49949849548645936,0.996,0.002,0.003976143141153081,0.3333333333333333,0.002
0.4,10504022640.096409,103989811,5.99271198564455,5.992711985644561,0.5,0.3351028462917356,0.5,0.5,0.998,0.6662216288384513,0.5,0.998,0.002,0.00398406374501992,0.5,0.002
0.5,10338370800.987923,102349858,7.475237364991627,7.475237364991627,0.499,0.33465340223189916,0.41641591440989634,0.499,0.996,0.6653306613226453,0.49949849548645936,0.996,0.002,0.003976143141153081,0.3333333333333333,0.002
0.6000000000000001,10173836032.727625,100720964,8.947765355285364,8.947765355285364,0.5,0.3351028462917356,0.5,0.5,0.998,0.6662216288384513,0.5,0.998,0.002,0.00398406374501992,0.5,0.002
0.7000000000000001,10011019143.472223,99109077,10.404918935991414,10.404918935991414,0.5,0.3351028462917356,0.5,0.5,0.998,0.6662216288384513,0.5,0.998,0.002,0.00398406374501992,0.5,0.002
0.8,9849615082.678133,97511177,11.849428201597622,11.849428201597611,0.5,0.3351028462917356,0.5,0.5,0.998,0.6662216288384513,0.5,0.998,0.002,0.00398406374501992,0.5,0.002
0.9,9689975062.510931,95930741,13.278149927423788,13.278149927423776,0.501,0.3373094764744864,0.5835840855901036,0.501,0.998,0.6666666666666666,0.5005015045135406,0.998,0.004,0.007952286282306162,0.6666666666666666,0.004
1.0,9532128274.893501,94368058,14.690822856083463,14.690822856083452,0.501,0.3373094764744864,0.5835840855901036,0.501,0.998,0.6666666666666666,0.5005015045135406,0.998,0.004,0.007952286282306162,0.6666666666666666,0.004
1.1,9376416538.050838,92826512,16.084387835342618,16.084387835342618,0.501,0.3373094764744864,0.5835840855901036,0.501,0.998,0.6666666666666666,0.5005015045135406,0.998,0.004,0.007952286282306162,0.6666666666666666,0.004
1.2000000000000002,9222747730.759188,91305191,17.459669317576363,17.459669317576378,0.501,0.3373094764744864,0.5835840855901036,0.501,0.998,0.6666666666666666,0.5005015045135406,0.998,0.004,0.007952286282306162,0.6666666666666666,0.004
1.3,9071360135.876934,89806454,18.814534755467882,18.814534755467882,0.501,0.3373094764744864,0.5835840855901036,0.501,0.998,0.6666666666666666,0.5005015045135406,0.998,0.004,0.007952286282306162,0.6666666666666666,0.004
