threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,58720256.0,4386178,0.0,0.0,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.1,58193361.48833358,4346821,0.8972960057708534,0.8972960057708534,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.2,57671795.228709824,4307862,1.7855180523909442,1.7855180523909442,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.30000000000000004,57143173.720778316,4268376,2.6857551152734804,2.6857551152734804,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.4,56619304.79946779,4229245,3.577898571375804,3.577898571375804,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.5,56095395.71545341,4190111,4.470110424155149,4.470110424155149,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.6000000000000001,55573575.092038676,4151133,5.358765649729669,5.358765649729669,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.7000000000000001,55052664.823244296,4112223,6.245870550625165,6.245870550625165,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.8,54525234.80886001,4072826,7.144078512089569,7.144078512089569,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
0.9,54002704.64434412,4033795,8.033942078958034,8.033942078958034,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.0,53481084.834448576,3994832,8.922255321147476,8.922255321147487,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.1,52962651.26572428,3956107,9.805142426960334,9.805142426960334,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.2000000000000002,52442249.72451187,3917235,10.691380969946952,10.691380969946952,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.3,51926895.29641524,3878740,11.569024330521927,11.569024330521927,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.4000000000000001,51413093.826200396,3840361,12.444023019585615,12.444023019585615,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.5,50893549.089336544,3801553,13.328802433462572,13.328802433462583,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.6,50381046.213212505,3763271,14.201589629969414,14.201589629969414,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.7000000000000002,49867057.31704641,3724878,15.076907503525849,15.076907503525849,0.99,0.98999899989999,0.9901960784313726,0.99,1.0,0.9900990099009901,0.9803921568627451,1.0,0.98,0.98989898989899,1.0,0.98
1.8,49352988.09547264,3686479,15.952362170436308,15.952362170436308,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
1.9000000000000001,48844206.963237695,3648475,16.818811274873024,16.818811274873024,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.0,48338839.66082908,3610726,17.679446661763386,17.679446661763386,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.1,47832749.42975137,3572923,18.541313188840036,18.541313188840036,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.2,47332522.95343417,3535558,19.39319380107237,19.39319380107237,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.3000000000000003,46828855.87215476,3497936,20.250933728635722,20.250933728635722,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.4000000000000004,46327919.8547364,3460518,21.104022682162004,21.104022682162004,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.5,45830210.24119313,3423341,21.951617102634692,21.95161710263468,0.991,0.9909992709409462,0.9911591355599214,0.991,1.0,0.9910802775024777,0.9823182711198428,1.0,0.982,0.9909182643794148,1.0,0.982
2.6,45328511.13240183,3385866,22.80600559302427,22.80600559302427,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.7,44827227.038216874,3348422,23.659687317751356,23.659687317751356,0.993,0.9929996569831921,0.9930966469428009,0.993,1.0,0.9930486593843099,0.9861932938856016,1.0,0.986,0.9929506545820745,1.0,0.986
2.8000000000000003,44332877.70422815,3311496,24.50155921624704,24.50155921624704,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
2.9000000000000004,43841406.697347894,3274785,25.338529352889914,25.33852935288993,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
3.0,43352265.12729032,3238248,26.17153248226588,26.17153248226588,0.992,0.9919994879672299,0.9921259842519685,0.992,1.0,0.9920634920634921,0.984251968503937,1.0,0.984,0.9919354838709677,1.0,0.984
