threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,class_0_accuracy,class_0_f1,class_0_precision,class_0_recall,class_1_accuracy,class_1_f1,class_1_precision,class_1_recall,class_2_accuracy,class_2_f1,class_2_precision,class_2_recall,class_3_accuracy,class_3_f1,class_3_precision,class_3_recall,class_4_accuracy,class_4_f1,class_4_precision,class_4_recall,class_5_accuracy,class_5_f1,class_5_precision,class_5_recall,class_6_accuracy,class_6_f1,class_6_precision,class_6_recall,class_7_accuracy,class_7_f1,class_7_precision,class_7_recall,class_8_accuracy,class_8_f1,class_8_precision,class_8_recall,class_9_accuracy,class_9_f1,class_9_precision,class_9_recall
0.0,1,0,0,0,0.101,0.032123360470262936,0.019101111675612473,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30829596412556054,0.0944206008583691,0.05574700993310359,0.30829596412556054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7546201232032854,0.24333719582850522,0.14505624629958555,0.7546201232032854,0.0,0.0,0.0,0.0
0.1,0,0,0,0,0.101,0.032123360470262936,0.019101111675612473,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30829596412556054,0.0944206008583691,0.05574700993310359,0.30829596412556054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7546201232032854,0.24333719582850522,0.14505624629958555,0.7546201232032854,0.0,0.0,0.0,0.0
