threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,ham_accuracy,ham_f1,ham_precision,ham_recall,spam_accuracy,spam_f1,spam_precision,spam_recall
0.0,11173625856.0,109483778,0.0,0.0,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.1,10811443455.596508,105934966,3.2414044023946653,3.241404402394654,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.2,10455347450.249407,102445791,6.428337721411115,6.428337721411115,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.30000000000000004,10110636045.987799,99068167,9.513382886732312,9.513382886732312,0.989,0.988999988999989,0.989001956007824,0.989,0.99,0.989010989010989,0.9880239520958084,0.99,0.988,0.988988988988989,0.9899799599198397,0.988
0.4,9781439402.30222,95842563,12.459576431496544,12.459576431496554,0.989,0.988999988999989,0.989001956007824,0.989,0.99,0.989010989010989,0.9880239520958084,0.99,0.988,0.988988988988989,0.9899799599198397,0.988
0.5,9470504086.990475,92795891,15.242337545202355,15.242337545202345,0.993,0.9929998249956249,0.993049304930493,0.993,0.998,0.9930348258706467,0.9881188118811881,0.998,0.988,0.992964824120603,0.997979797979798,0.988
0.6000000000000001,9180005861.009806,89949470,17.842193936712704,17.842193936712704,0.993,0.9929998249956249,0.993049304930493,0.993,0.998,0.9930348258706467,0.9881188118811881,0.998,0.988,0.992964824120603,0.997979797979798,0.988
0.7000000000000001,8909657228.763958,87300483,20.2617185899449,20.2617185899449,0.993,0.9929998249956249,0.993049304930493,0.993,0.998,0.9930348258706467,0.9881188118811881,0.998,0.988,0.992964824120603,0.997979797979798,0.988
0.8,8659572800.67345,84850053,22.49988578216583,22.49988578216583,0.993,0.9929998249956249,0.993049304930493,0.993,0.998,0.9930348258706467,0.9881188118811881,0.998,0.988,0.992964824120603,0.997979797979798,0.988
0.9,8427649582.682042,82577574,24.57551656648166,24.57551656648166,0.99,0.9899993599590373,0.9901254721208629,0.99,0.998,0.9900793650793651,0.9822834645669292,0.998,0.982,0.9899193548387096,0.9979674796747967,0.982
1.0,8212714221.268205,80471549,26.49911204196844,26.49911204196844,0.989,0.9889986688389295,0.9892367906066536,0.989,1.0,0.9891196834817013,0.9784735812133072,1.0,0.978,0.9888776541961577,1.0,0.978
