threshold,flops,non_zero_params,params_reduction_pct,flops_reduction_pct,overall_accuracy,overall_f1,overall_precision,overall_recall,class_3_accuracy,class_3_f1,class_3_precision,class_3_recall,class_4_accuracy,class_4_f1,class_4_precision,class_4_recall,class_5_accuracy,class_5_f1,class_5_precision,class_5_recall,class_6_accuracy,class_6_f1,class_6_precision,class_6_recall,class_7_accuracy,class_7_f1,class_7_precision,class_7_recall,class_8_accuracy,class_8_f1,class_8_precision,class_8_recall
0.0,2177.0,1088,0.0,0.0,0.6616635397123202,0.6357458596079324,0.634234661518062,0.6616635397123202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8032305433186491,0.7477785372522214,0.6994884910485933,0.8032305433186491,0.6959247648902821,0.6505494505494506,0.6107290233837689,0.6959247648902821,0.33668341708542715,0.46366782006920415,0.7444444444444445,0.33668341708542715,0.0,0.0,0.0,0.0
0.1,23396.0,13766,0.7927356586912682,0.889604337880201,0.6622889305816135,0.636300442172981,0.634733764506683,0.6622889305816135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8046989720998532,0.7486338797814208,0.6998722860791826,0.8046989720998532,0.6959247648902821,0.6510263929618768,0.6115702479338843,0.6959247648902821,0.33668341708542715,0.46366782006920415,0.7444444444444445,0.33668341708542715,0.0,0.0,0.0,0.0
0.2,22874.0,13500,2.7097146151628726,3.100906549182414,0.6635397123202001,0.6374089547021763,0.6357335027607975,0.6635397123202001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076358296622613,0.7503410641200545,0.7006369426751592,0.8076358296622613,0.6959247648902821,0.6519823788546255,0.6132596685082873,0.6959247648902821,0.33668341708542715,0.46366782006920415,0.7444444444444445,0.33668341708542715,0.0,0.0,0.0,0.0
0.30000000000000004,22860.0,13489,2.7889881810319928,3.1602135050410873,0.6635397123202001,0.6374089547021763,0.6357335027607975,0.6635397123202001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076358296622613,0.7503410641200545,0.7006369426751592,0.8076358296622613,0.6959247648902821,0.6519823788546255,0.6132596685082873,0.6959247648902821,0.33668341708542715,0.46366782006920415,0.7444444444444445,0.33668341708542715,0.0,0.0,0.0,0.0
0.4,22634.0,13369,3.6537907177861095,4.117597221045499,0.6641651031894934,0.6379559388074294,0.6376219907914494,0.6641651031894934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8091042584434655,0.7506811989100818,0.7001270648030495,0.8091042584434655,0.6959247648902821,0.6519823788546255,0.6132596685082873,0.6959247648902821,0.33668341708542715,0.46689895470383275,0.7613636363636364,0.33668341708542715,0.0,0.0,0.0,0.0
0.5,22430.0,13264,4.410492937445953,4.981784292129121,0.6635397123202001,0.6376571914641799,0.6365232449573514,0.6635397123202001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076358296622613,0.7498295841854125,0.6997455470737913,0.8076358296622613,0.6943573667711599,0.6509919177075679,0.6127247579529738,0.6943573667711599,0.3417085427135678,0.47058823529411764,0.7555555555555555,0.3417085427135678,0.0,0.0,0.0,0.0
0.6000000000000001,22066.0,13080,5.736523493802248,6.523765144454796,0.6572858036272671,0.6315109559443123,0.6306121150646347,0.6572858036272671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8076358296622613,0.7447528774542993,0.6909547738693468,0.8076358296622613,0.6786833855799373,0.6410066617320503,0.6072931276297335,0.6786833855799373,0.3417085427135678,0.47058823529411764,0.7555555555555555,0.3417085427135678,0.0,0.0,0.0,0.0
0.7000000000000001,21762.0,12924,6.860766791582584,7.811573328814703,0.6585365853658537,0.6330000346190715,0.6319239682426315,0.6585365853658537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8046989720998532,0.7425474254742548,0.6893081761006289,0.8046989720998532,0.6833855799373041,0.6454478164322723,0.6115007012622721,0.6833855799373041,0.34673366834170855,0.47586206896551725,0.7582417582417582,0.34673366834170855,0.0,0.0,0.0,0.0
0.8,21538.0,12810,7.682329201498995,8.760484622553587,0.6641651031894934,0.6376984406846222,0.6387496015552637,0.6641651031894934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8135095447870778,0.7496617050067659,0.6951066499372648,0.8135095447870778,0.6912225705329154,0.6514032496307238,0.6159217877094972,0.6912225705329154,0.33668341708542715,0.47017543859649125,0.7790697674418605,0.33668341708542715,0.0,0.0,0.0,0.0
0.9,21440.0,12756,8.071490343038334,9.175633313564347,0.6622889305816135,0.6357847368587373,0.6376921429291579,0.6622889305816135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8149779735682819,0.7479784366576819,0.6911581569115816,0.8149779735682819,0.6849529780564263,0.647887323943662,0.6146272855133614,0.6849529780564263,0.33668341708542715,0.47183098591549294,0.788235294117647,0.33668341708542715,0.0,0.0,0.0,0.0
